Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,City,Kind,Postal code,Public name,Station type,Status,year,month,day,hour,minute
2 Avenue de Suffren,0,0,0,0,Paris,STATION,75015,Paris/Suffren/2,station,ok,2018,4,8,11,43
145 Rue Raymond Losserand,6,6,0,0,Paris,STATION,75014,Paris/Raymond Losserand/145,station,ok,2018,4,6,7,24
2 Avenue John Fitzgerald Kennedy,3,3,0,2,Le Bourget,STATION,93350,Le Bourget/John Fitzgerald Kennedy/2,station,ok,2018,4,3,20,14
51 Rue EugÃ¨ne OudinÃ©,3,3,1,0,Paris,STATION,75013,Paris/EugÃ¨ne OudinÃ©/51,station,ok,2018,4,4,4,37
6 avenue de la Porte de Champerret,3,3,0,0,Paris,PARKING,75017,Paris/Porte de Champerret/6,station,ok,2018,4,8,17,23
8 Boulevard Voltaire,0,0,0,0,Paris,STATION,75011,Paris/Voltaire/8,station,ok,2018,4,6,7,2
37 rue Leblanc,0,0,0,0,Paris,PARKING,75015,Paris/CitroÃ«n CÃ©vennes/Parking,station,closed,2018,4,8,18,20
17 Rue des Luaps ProlongÃ©e,3,3,1,0,Nanterre,STATION,92000,Nanterre/Luaps/17,station,ok,2018,4,4,22,13
34 avenue Jean Moulin,1,1,0,0,Paris,STATION,75014,Paris/Jean Moulin/34,station,ok,2018,4,2,22,58
41 boulevard de Rochechouart,6,6,0,0,Paris,PARKING,75009,Paris/Anvers/Parking,station,ok,2018,4,4,15,2
14 rue Censier,0,0,0,0,Paris,STATION,75005,Paris/Censier/14,station,ok,2018,4,1,4,39
12 Rue Francis de PressensÃ©,1,1,0,0,Puteaux,STATION,92800,Puteaux/Francis de PressensÃ©/12,station,ok,2018,4,6,9,20
6 avenue de la Porte de Champerret,5,5,1,0,Paris,PARKING,75017,Paris/Porte de Champerret/6,station,ok,2018,4,5,12,22
34 avenue Jean Moulin,0,0,0,0,Paris,STATION,75014,Paris/Jean Moulin/34,station,ok,2018,4,8,21,54
8 Boulevard Richard Lenoir,0,0,0,0,Paris,STATION,75011,Paris/Richard Lenoir/8,station,ok,2018,4,6,8,0
3 rue Jean JaurÃ¨s,0,0,0,0,Fontenay-aux-Roses,SPACE,92260,Fontenay-aux-Roses/Jean JaurÃ¨s/3,full_station,ok,2018,4,2,0,21
2 avenue du GÃ©nÃ©ral Leclerc,0,0,0,0,Le Chesnay,STATION,78150,Le Chesnay/Leclerc/2,station,ok,2018,4,3,19,0
182 Boulevard Voltaire,6,6,0,0,Paris,STATION,75011,Paris/Voltaire/182,station,ok,2018,4,9,12,14
26 villa Croix-Nivert,5,5,0,0,Paris,PARKING,75015,Paris/Cambronne/Parking,station,ok,2018,4,9,20,58
11 avenue RenÃ© Coty,4,4,0,2,Paris,STATION,75014,Paris/RenÃ© Coty/11,station,ok,2018,4,9,21,31
2 Place de Catalogne,3,3,0,0,Paris,SPACE,75014,Paris/Catalogne/2,full_station,ok,2018,4,5,6,16
37 avenue Georges Pompidou,2,2,1,0,Suresnes,STATION,92150,Suresnes/Georges Pompidou/37,station,ok,2018,4,7,7,32
5 rue Vauban,5,5,0,0,Versailles,STATION,78000,Versailles/Vauban/5,station,ok,2018,4,5,3,6
2 Rue du GÃ©nÃ©ral Malleret Joinville,2,2,0,0,Malakoff,STATION,92240,Malakoff/Malleret Joinville/2,station,ok,2018,4,1,4,11
15 avenue Ãmile Deschanel,2,2,0,0,Paris,STATION,75007,Paris/Ãmile Deschanel/15,station,ok,2018,4,4,23,27
182 Boulevard Voltaire,0,0,0,0,Paris,STATION,75011,Paris/Voltaire/182,station,ok,2018,4,5,21,6
203 Rue du Faubourg-Saint-Martin,2,2,0,1,Paris,STATION,75010,Paris/Faubourg-Saint-Martin/203,station,ok,2018,4,3,9,40
16 rue Guynemer,1,1,0,0,Issy-les-Moulineaux,STATION,92130,Issy-les-Moulineaux/Guynemer/16,station,ok,2018,4,6,19,53
8 rue Danton,0,0,0,0,Paris,STATION,75006,Paris/Danton/8,station,ok,2018,4,2,23,28
35 rue de Boucry,0,0,0,0,Paris,STATION,75018,Paris/Boucry/35,station,closed,2018,4,8,2,29
24 rue du Pont Louis-Philippe,0,0,0,0,Paris,STATION,75004,Paris/Pont Louis-Philippe/24,station,ok,2018,4,9,21,7
21 rue Miollis,4,4,0,0,Paris,STATION,75015,Paris/Miollis/21,station,ok,2018,4,3,1,22
14 rue Sorbier,1,1,0,0,Paris,STATION,75020,Paris/Sorbier/14,station,ok,2018,4,8,17,23
6 rue de Londres,3,3,0,0,Paris,STATION,75009,Paris/Londres/6,station,ok,2018,4,9,10,28
38 ter rue du Mont ValÃ©rien,3,3,0,0,Saint-Cloud,STATION,92210,Saint-Cloud/Mont ValÃ©rien/38,station,ok,2018,4,3,16,22
123 Grande Rue,2,2,0,1,SÃ¨vres,STATION,92310,SÃ¨vres/Grande Rue/123,station,ok,2018,4,8,3,9
5 rue des Ecoles,4,4,0,0,Nanterre,STATION,92000,Nanterre/Ecoles/5,station,ok,2018,4,6,11,51
5 rue FrÃ©dÃ©rick LemaÃ®tre,5,5,0,0,Paris,STATION,75020,Paris/FrÃ©dÃ©rick LemaÃ®tre/5,station,ok,2018,4,3,3,48
77 rue Edouard Vaillant,3,3,0,0,Bezons,SPACE,95870,Bezons/Edouard Vaillant/77,full_station,ok,2018,4,1,23,36
1 rue Jean Monnet,5,5,0,0,Nogent-sur-Marne,SPACE,94130,Nogent-sur-Marne/Jean Monnet/1,full_station,ok,2018,4,2,8,37
70 Boulevard de Clichy,2,2,0,0,Paris,STATION,75018,Paris/Clichy/70,station,ok,2018,4,3,16,24
68 avenue Mozart,2,2,0,0,Paris,STATION,75016,Paris/Mozart/68,station,ok,2018,4,1,21,17
16 rue Claude Bernard,1,1,0,0,Paris,STATION,75005,Paris/Claude Bernard/16,station,ok,2018,4,4,13,3
18 Rue Gabriel FaurÃ©,3,3,0,0,CrÃ©teil,STATION,94000,CrÃ©teil/Gabriel FaurÃ©/18,station,ok,2018,4,2,23,38
27 boulevard Gallieni,4,4,0,0,Issy-les-Moulineaux,STATION,92130,Issy-les-Moulineaux/Gallieni/27,station,ok,2018,4,4,11,54
42 bis avenue Georges Mandel,5,5,0,0,Paris,STATION,75016,Paris/Georges Mandel/42,station,ok,2018,4,6,18,25
81 avenue de la Grande ArmÃ©e,0,0,0,0,Paris,STATION,75016,Paris/Grande ArmÃ©e/81,station,closed,2018,4,6,21,2
2 avenue de l'Ãpi dâOr,6,6,0,0,Villejuif,STATION,94800,Villejuif/Ãpi d'Or/2,station,ok,2018,4,5,7,5
14 rue Censier,2,2,0,0,Paris,STATION,75005,Paris/Censier/14,station,ok,2018,4,5,2,35
59 avenue Reille,3,3,0,1,Paris,STATION,75014,Paris/Reille/59,station,ok,2018,4,7,9,6
2 bis Place du 8 mai 1945,4,4,0,1,Rueil-Malmaison,STATION,92500,Rueil-Malmaison/8 mai 1945/2,station,ok,2018,4,6,3,52
41 rue de Tolbiac,3,3,0,0,Paris,STATION,75013,Paris/Tolbiac/41,station,ok,2018,4,9,19,49
2 Rue Fabre d'Ãglantine,2,2,0,0,Paris,STATION,75012,Paris/Fabre d'Ãglantine/2,station,ok,2018,4,9,0,44
29 Avenue Georges Pompidou,6,6,0,0,Villeneuve-la-Garenne,STATION,92390,Villeneuve-la-Garenne/Pompidou/29,station,ok,2018,4,1,11,56
17 Place de la RÃ©publique,0,0,0,0,Paris,STATION,75003,Paris/RÃ©publique/17,station,ok,2018,4,3,0,56
145 Rue Raymond Losserand,4,4,0,0,Paris,STATION,75014,Paris/Raymond Losserand/145,station,ok,2018,4,4,10,9
11 rue de vincennes,6,6,0,0,Montreuil,STATION,93100,Montreuil/Vincennes/11,station,ok,2018,4,7,21,11
1 rue Velpeau,0,0,0,0,Paris,PARKING,75007,Paris/SÃ¨vres Babylone/Parking,station,ok,2018,4,6,0,9
229 Rue Raymond Losserand,5,5,0,0,Paris,STATION,75014,Paris/Raymond Losserand/229,station,ok,2018,4,8,8,22
1 Boulevard Murat,0,0,0,0,Paris,STATION,75016,Paris/Murat/1,station,ok,2018,4,4,3,32
137 rue de la Pompe,3,3,0,0,Paris,STATION,75016,Paris/Pompe/137,station,ok,2018,4,3,21,17
10 rue Guy Patin,3,3,0,0,Paris,STATION,75010,Paris/Guy Patin/10,station,ok,2018,4,5,15,54
1 rue Jacques Duchesne,3,3,0,2,Paris,STATION,75019,Paris/Jacques Duchesne/1,station,ok,2018,4,8,10,55
147 rue de Paris,3,3,0,0,Charenton-le-Pont,STATION,94220,Charenton-le-Pont/Paris/147,station,ok,2018,4,2,14,38
